borough,block,lot,cd,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes
QN,5181,1102,,,,,,,,,,,,41-60 BOWNE STREET,,,,,,,,,,,,R4,03,0,X,,,53727,0,430,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4051811102,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
MN,90,1320,,,,,,,,,,,,25 PARK ROW,,,,,,,,,,,,R4,03,0,X,,,915,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1000901320,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
MN,1436,1504,,,,,,,,,,,,321 EAST 61ST STREET,,,,,,,,,,,,RB,05,0,X,,,11656,11656,0,11656,0,0,0,0,0,2,,,0,1,,,,,,2,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1014361504,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,637,1201,,,,,,,,,,,,208 19TH STREET,,,,,,,,,,,,R6,02,0,X,,,4973,0,2523,0,0,0,0,0,0,2,,,1,1,,,,,,2,N,5,5,0,0,0,0,0,0,,,,0,0,0,3,3006371201,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1023,1401,,,,,,,,,,,,404 11TH STREET,,,,,,,,,,,,R1,02,0,X,,,3915,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3010231401,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2773,1303,301,513,1002,14,34,11211,E216,90,700,3,2A,21 POWERS STREET,,,,,,,,,,,,R4,03,0,X,,,13557,0,922,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3027731303,,0513,998039,198682,40.7120021575075,-73.9502616761389,,,304 021,30906,,,,2,20v2,01,30,,,,,,,,,,,,,
QN,405,1013,401,33,2005,30,26,11101,E258,114,710,4,6D,2705 41ST AVENUE,,,,,,,,,,,,R4,03,0,X,,,451,0,451,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4004051013,,0033,1001446,213210,40.7518719765868,-73.9379351551876,,,401 075,40302,,,,2,20v2,01,41,,,,,,,,,,,,,
MN,459,1305,,,,,,,,,,,,3 EAST 3RD STREET,,,,,,,,,,,,R1,02,0,X,,,1866,0,1866,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1004591305,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,4972,1431,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,488,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721431,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
MN,1516,1238,108,148.02,2001,02,5,10128,L013,19,3600,1,5B,180 EAST 88TH STREET,,,,,,,,,,,,R4,03,0,X,,,1422,0,1422,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1015161238,,014802,997115,223466,40.7800294009363,-73.9535472294351,,,108S024,10514,,,,2,20v2,08,13,,,,,,,,,,,,,
BK,2375,1031,,,,,,,,,,,,147 HOPE STREET,,,,,,,,,,,,R4,03,0,X,,,46881,0,1372,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3023751031,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,1536,1134,,,,,,,,,,,,45-16 83RD STREET,,,,,,,,,,,,R4,03,0,X,,,233805,0,602,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4015361134,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,783,1113,307,78,2000,15,38,11220,E201,72,6500,3,3C,4907 4TH AVENUE,,,,,,,,,,,,R4,03,0,X,,,20850,0,500,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3007831113,,0078,980940,174857,40.646618060522,-74.0119278054431,,,306A019,30306,,,,2,20v2,07,39,,,,,,,,,,,,,
QN,48,1039,402,7,3004,30,26,11101,L115,108,720,4,3B,46-20 11 STREET,,,,,,,,,,,,R4,03,0,X,,,844,0,844,0,0,0,0,0,0,2,,,1,1,,,,,,2,N,3,5,0,0,0,0,0,0,,,,0,0,0,4,4000481039,,0007,997877,211067,40.7459962027938,-73.9508209455143,,,401 014,40101,,,,2,20v2,02,41,,,,,,,,,,,,,
MN,695,2303,,,,,,,,,,,,514 WEST 24TH STREET,,,,,,,,,,,,R4,03,0,X,,,46793,0,5117,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1006952303,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
MN,2006,1102,110,228,1000,05,9,10030,E059,32,1000,1,3B,152 WEST 137TH STREET,,,,,,,,,,,,R5,05,0,X,,,155355,11170,0,0,11170,0,0,0,0,2,,,0,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1020061102,,0228,1000290,236832,40.816710230544,-73.9420510577378,,,111S026,10708,,,,2,20v2,10,11,,,,,,,,,,,,,
MN,1072,1266,104,129,2007,02,3,10036,E054,18,4500,1,3B,505 WEST 43RD STREET,,,,,,,,,,,,R4,03,0,X,,,178000,0,1172,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1010721266,,0129,985505,216498,40.7609133302487,-73.9954697634924,,,105N040,10405,,,,2,20v2,04,15,,,,,,,,,,,,,
BK,161,1133,302,37,1000,15,33,11201,E207,84,2400,3,2B,10 NEVINS STREET,,,,,,,,,,,,R4,03,0,X,,,161880,0,1231,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3001611133,,0037,989403,190086,40.6884173919615,-73.9814191807965,,,302 026,30104,,,,2,20v2,02,38,,,,,,,,,,,,,
QN,52,1230,402,7,1000,30,26,11101,L115,108,720,4,2A,11-12 44TH DRIVE,,,,,,,,,,,,R4,03,0,X,,,804,0,804,0,0,0,0,0,0,2,,,1,1,,,,,,2,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000521230,,0007,998335,211861,40.74817481537,-73.9491663875009,,,401 019,40101,,,,2,20v2,02,41,,,,,,,,,,,,,
BK,121,1005,302,15,1004,13,33,11201,L118,84,1100,3,1B,178 CONCORD STREET,,,,,,,,,,,,R4,03,0,X,,,7332,0,631,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3001211005,,0015,988709,193344,40.6973602254293,-73.9839194671057,,,302 033,30103,,,,2,20v2,02,36,,,,,,,,,,,,,
MN,1182,1209,107,159,3003,03,6,10023,L035,20,3900,1,1B,350 W 71ST STREET,,,,,,,,,,,,R4,03,0,X,,,36505,0,1666,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1011821209,,0159,987886,223327,40.7796564975321,-73.9868712537427,,,106W013,10407,,,,2,20v2,07,15,,,,,,,,,,,,,
MN,2006,1232,110,228,1000,05,9,10030,E059,32,1000,1,3B,2351 ADAM CLAYTON POWELL JR. BLVD,,,,,,,,,,,,R4,03,0,X,,,155355,0,854,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1020061232,,0228,1000290,236832,40.816710230544,-73.9420510577378,,,111S026,10708,,,,2,20v2,10,11,,,,,,,,,,,,,
QN,4972,1309,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,723,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721309,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
MN,2006,1217,110,228,1000,05,9,10030,E059,32,1000,1,3B,2351 ADAM CLAYTON POWELL JR. BLVD,,,,,,,,,,,,R4,03,0,X,,,155355,0,652,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1020061217,,0228,1000290,236832,40.816710230544,-73.9420510577378,,,111S026,10708,,,,2,20v2,10,11,,,,,,,,,,,,,
QN,78,1140,402,7,2000,30,26,11101,L115,108,720,4,2A,21-30 44TH DRIVE,,,,,,,,,,,,R4,03,0,X,,,109320,0,1353,0,0,0,0,0,0,2,,,1,1,,,,,,2,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000781140,,0007,999181,211647,40.7475860513167,-73.946113598458,,,401 019,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,78,1179,402,7,2000,30,26,11101,L115,108,720,4,2A,21-30 44TH DRIVE,,,,,,,,,,,,R4,03,0,X,,,109320,0,1612,0,0,0,0,0,0,2,,,1,1,,,,,,2,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000781179,,0007,999181,211647,40.7475860513167,-73.946113598458,,,401 019,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,1540,1125,404,485,2001,24,25,11373,E287,110,1410,4,1E,81-05 QUEENS BOULEVARD,,,,,,,,,,,,R4,03,0,X,,,881,0,881,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4015401125,,0485,1016928,208203,40.7380853657963,-73.8820809615542,,,409 028,40905,,,,2,20v2,04,42,,,,,,,,,,,,,
MN,1072,1292,104,129,2007,02,3,10036,E054,18,4500,1,3B,505 WEST 43RD STREET,,,,,,,,,,,,R4,03,0,X,,,178000,0,1900,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1010721292,,0129,985505,216498,40.7609133302487,-73.9954697634924,,,105N040,10405,,,,2,20v2,04,15,,,,,,,,,,,,,
MN,1516,1248,108,148.02,2001,02,5,10128,L013,19,3600,1,5B,180 EAST 88TH STREET,,,,,,,,,,,,R4,03,0,X,,,4017,0,4017,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1015161248,,014802,997115,223466,40.7800294009363,-73.9535472294351,,,108S024,10514,,,,2,20v2,08,13,,,,,,,,,,,,,
BK,2375,1020,,,,,,,,,,,,147 HOPE STREET,,,,,,,,,,,,R4,03,0,X,,,46881,0,1058,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3023751020,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,8674,1109,,,,,,,,,,,,3016 BRIGHTON 5TH STREET,,,,,,,,,,,,R4,03,0,X,,,713,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3086741109,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,415,1518,,,,,,,,,,,,41-04 27TH STREET,,,,,,,,,,,,R4,03,0,X,,,27683,0,638,0,0,0,0,0,0,2,,,1,1,,,,,,2,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4004151518,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,1536,1166,,,,,,,,,,,,45-11 82ND STREET,,,,,,,,,,,,R4,03,0,X,,,233805,0,984,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4015361166,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
MN,135,1907,,,,,,,,,,,,30 WARREN STREET,,,,,,,,,,,,R4,03,0,X,,,1650,0,1650,0,0,0,0,0,0,2,,,1,1,,,,,,2,N,3,5,0,0,0,0,0,0,,,,0,0,0,1,1001351907,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1190,1047,309,213,3001,17,35,11225,E280,71,2720,3,1A,12 CROWN STREET,,,,,,,,,,,,R4,03,0,X,,,94596,0,1063,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3011901047,,0213,995096,182377,40.6672527865183,-73.9609036242801,,,307 051,30408,,,,2,20v2,09,36,,,,,,,,,,,,,
MN,1578,1303,108,136,7000,02,5,10028,E022,19,3800,1,3B,40 EAST END AVENUE,,,,,,,,,,,,R4,03,0,X,,,1412,0,1412,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1015781303,,0136,998824,220549,40.7720203514045,-73.9473827230911,,,108S029,10516,,,,2,20v2,08,13,,,,,,,,,,,,,
MN,2006,1156,110,228,1000,05,9,10030,E059,32,1000,1,3B,2351 ADAM CLAYTON POWELL JR. BLVD,,,,,,,,,,,,R4,03,0,X,,,155355,0,881,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1020061156,,0228,1000290,236832,40.816710230544,-73.9420510577378,,,111S026,10708,,,,2,20v2,10,11,,,,,,,,,,,,,
BK,2788,1201,,,,,,,,,,,,710 GRAND STREET,,,,,,,,,,,,RR,04,0,X,,,9991,1736,3336,0,1736,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3027881201,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,1985,7501,404,403,3000,24,21,11368,L138,110,1100,4,3C,104-53 42 AVENUE,R5,,,,,,,,,,N,R1,02,0,,UNAVAILABLE OWNER,2500,4743,0,4743,0,0,0,0,0,0,2,0001,4,8,8,25.00,100.00,25.00,47.90,,0,N,0,5,45000,567538,0,1987,0,0,,,1.90,1.25,0,2,4,4019857501,345,0403,1023245,212272,40.7492281434673,-73.8592624207799,10b,,419 012,41104,,4019850059,12/29/1992,1,20v2,04,42,,,,,,,,,,,0106000020E61000000100000001030000000100000005000000B4D9D057FC7652C0D0F922E5E25F444002E7DEB7FD7652C061E66812E25F4440B1ED6CE9FF7652C0DF8D4B9EEA5F4440FC404589FE7652C09326A370EB5F4440B4D9D057FC7652C0D0F922E5E25F4440,,
BK,2773,1301,301,513,1002,14,34,11211,E216,90,700,3,2A,21 POWERS STREET,,,,,,,,,,,,R4,03,0,X,,,13557,0,947,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3027731301,,0513,998039,198682,40.7120021575075,-73.9502616761389,,,304 021,30906,,,,2,20v2,01,30,,,,,,,,,,,,,
BK,5611,1202,312,232,3001,20,39,11219,L148,66,6900,3,3E,1365 45TH STREET,,,,,,,,,,,,R6,02,0,X,,,2672,0,924,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3056111202,,0232,987596,171145,40.6364294033527,-73.9879443071124,,,306A060,3,,,,2,20v2,12,39,,,,,,,,,,,,,
QN,48,1001,402,7,3004,30,26,11101,L115,108,720,4,3B,46-20 11 STREET,,,,,,,,,,,,R4,03,0,X,,,1025,0,1025,0,0,0,0,0,0,2,,,1,1,,,,,,2,N,3,5,0,0,0,0,0,0,,,,0,0,0,4,4000481001,,0007,997877,211067,40.7459962027938,-73.9508209455143,,,401 014,40101,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,1536,1110,,,,,,,,,,,,45-11 82ND STREET,,,,,,,,,,,,R4,03,0,X,,,233805,0,944,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4015361110,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,4972,1469,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,1076,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721469,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
QN,4972,1489,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,2049,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721489,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
QN,382,1111,,,,,,,,,,,,31-12 38 AVENUE,,,,,,,,,,,,R4,03,0,X,,,15897,0,624,0,0,0,0,0,0,2,,,1,1,,,,,,2,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4003821111,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2773,1319,301,513,1002,14,34,11211,E216,90,700,3,2A,21 POWERS STREET,,,,,,,,,,,,RG,10,0,X,,,13557,157,0,0,0,157,0,0,0,2,,,0,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3027731319,,0513,998039,198682,40.7120021575075,-73.9502616761389,,,304 021,30906,,,,2,20v2,01,30,,,,,,,,,,,,,
BK,161,1106,302,37,1000,15,33,11201,E207,84,2400,3,2B,10 NEVINS STREET,,,,,,,,,,,,R4,03,0,X,,,161880,0,428,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3001611106,,0037,989403,190086,40.6884173919615,-73.9814191807965,,,302 026,30104,,,,2,20v2,02,38,,,,,,,,,,,,,
QN,52,1210,402,7,1000,30,26,11101,L115,108,720,4,2A,11-12 44TH DRIVE,,,,,,,,,,,,R4,03,0,X,,,723,0,723,0,0,0,0,0,0,2,,,1,1,,,,,,2,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000521210,,0007,998335,211861,40.74817481537,-73.9491663875009,,,401 019,40101,,,,2,20v2,02,41,,,,,,,,,,,,,
MN,1072,1263,104,129,2007,02,3,10036,E054,18,4500,1,3B,505 WEST 43RD STREET,,,,,,,,,,,,R4,03,0,X,,,178000,0,647,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1010721263,,0129,985505,216498,40.7609133302487,-73.9954697634924,,,105N040,10405,,,,2,20v2,04,15,,,,,,,,,,,,,
BK,161,1058,302,37,1000,15,33,11201,E207,84,2400,3,2B,10 NEVINS STREET,,,,,,,,,,,,R4,03,0,X,,,161880,0,634,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3001611058,,0037,989403,190086,40.6884173919615,-73.9814191807965,,,302 026,30104,,,,2,20v2,02,38,,,,,,,,,,,,,
QN,72,1062,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,551,0,551,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721062,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1089,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,1334,67,1267,0,0,0,0,0,67,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721089,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
BK,2375,1024,,,,,,,,,,,,147 HOPE STREET,,,,,,,,,,,,R4,03,0,X,,,46881,0,696,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3023751024,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,5329,1022,,,,,,,,,,,,190 EAST 7TH STREET,,,,,,,,,,,,R3,02,0,X,,,967,0,967,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3053291022,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,5040,1408,,,,,,,,,,,,132-18 41ST ROAD,,,,,,,,,,,,R4,03,0,X,,,16526,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4050401408,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,1536,1119,,,,,,,,,,,,45-16 83RD STREET,,,,,,,,,,,,R4,03,0,X,,,233805,0,636,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4015361119,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,1536,1121,,,,,,,,,,,,45-16 83RD STREET,,,,,,,,,,,,R4,03,0,X,,,233805,0,910,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4015361121,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,1536,1157,,,,,,,,,,,,45-16 83RD STREET,,,,,,,,,,,,R4,03,0,X,,,233805,0,1168,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4015361157,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,72,1119,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,1059,0,1059,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721119,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
BK,3184,1001,304,423,2003,32,34,11221,E218,83,3200,3,1A,1003 WILLOUGHBY AVE,,,,,,,,,,,,R1,02,0,X,,,5074,0,1670,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3031841001,,0423,1003910,193962,40.6990357761161,-73.9290981711334,,,309 010,31102,,,,2,20v2,04,34,,,,,,,,,,,,,
QN,5181,1138,,,,,,,,,,,,41-60 BOWNE STREET,,,,,,,,,,,,R4,03,0,X,,,53727,0,910,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4051811138,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2883,1202,,,,,,,,,,,,210 JACKSON STREET,,,,,,,,,,,,R1,02,0,X,,,4998,0,1067,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3028831202,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,48,1044,402,7,3004,30,26,11101,L115,108,720,4,3B,46-20 11 STREET,,,,,,,,,,,,RG,10,0,X,,,153,153,0,0,0,153,0,0,0,2,,,0,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000481044,,0007,997877,211067,40.7459962027938,-73.9508209455143,,,401 014,40101,,,,2,20v2,02,41,,,,,,,,,,,,,
BK,1996,1401,,,,,,,,,,,,39 JEFFERSON AVENUE,,,,,,,,,,,,R1,02,0,X,,,2400,0,1548,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3019961401,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,8781,1103,315,600,3011,22,48,11235,L169,61,8721,3,3D,2756 EAST 23RD STREET,,,,,,,,,,,,R3,02,0,X,,,1796,0,901,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3087811103,,0600,999444,152518,40.5852897299482,-73.945297686187,,,318 008,32603,,,,2,20v2,15,37,,,,,,,,,,,,,
QN,72,1133,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,986,0,986,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721133,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
MN,1914,1302,,,,,,,,,,,,126 WEST 130TH STREET,,,,,,,,,,,,R6,02,0,X,,,5663,0,882,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1019141302,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,5181,1103,,,,,,,,,,,,41-60 BOWNE STREET,,,,,,,,,,,,R4,03,0,X,,,53727,0,620,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4051811103,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
MN,193,1904,,,,,,,,,,,,391 BROADWAY,,,,,,,,,,,,R1,02,0,X,,,13004,0,2040,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1001931904,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
MN,459,1303,,,,,,,,,,,,3 EAST 3RD STREET,,,,,,,,,,,,R1,02,0,X,,,1866,0,1866,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1004591303,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
MN,1958,1131,110,215,2001,05,9,10030,E037,32,8520,1,3A,308 WEST 133RD STREET,,,,,,,,,,,,R4,03,0,X,,,48518,0,999,0,0,0,0,0,0,2,,,1,1,,,,,,2,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1019581131,,0215,998588,236286,40.8152145401744,-73.948201169029,,,111S005,10706,,,,2,20v2,10,11,,,,,,,,,,,,,
QN,1536,1128,,,,,,,,,,,,45-11 82ND STREET,,,,,,,,,,,,R4,03,0,X,,,233805,0,650,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4015361128,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
